#{"t_start": 1778332086.155168, "env_id": "None"}
r,l,t
-966.45,250,2.262065
-877.65,250,2.491869
-971.75,250,2.72992
-1001.35,250,2.974887
256.05,23,2.995366
-301.7,234,3.197173
-876.4,250,3.479103
101.7,83,3.578775
-888.2,250,3.880703
18.8,136,4.074748
-113.25,148,5.779463
204.75,49,6.014176
-912.3,250,6.400144
-865.8,250,6.705114
86.0,74,6.805942
-118.5,147,6.998643
-246.85,210,7.273351
-248.65,206,7.530385
155.75,70,7.635997
-958.45,250,8.019812
301.15,1,8.021813
-59.15,149,8.204194
288.1,7,8.212327
-894.8,250,8.530091
-974.4,250,9.932379
-851.15,250,10.207185
-880.25,250,10.459162
-1006.3,250,10.71931
-83.7,147,10.861402
-121.35,171,11.025649
-129.5,142,11.175638
-923.95,250,11.41692
58.7,100,11.519796
-969.45,250,11.768168
-330.2,207,13.141003
-920.15,250,13.381295
-904.05,250,13.615581
-4.9,121,13.722526
47.4,104,13.829126
-178.3,191,14.02399
10.65,115,14.134693
-959.8,250,14.377634
-72.15,132,14.507673
152.4,67,14.574147
86.1,110,14.678377
282.6,8,14.68639
130.3,79,14.764103
-8.2,138,14.891726
-298.4,209,16.057028
153.9,59,16.143213
-9.95,104,16.291707
304.6,4,16.297551
72.45,105,16.431729
113.85,67,16.524591
-10.65,123,16.678502
-30.9,161,16.869632
-312.7,214,17.094276
291.3,4,17.099298
-998.45,250,17.378756
-350.3,246,17.689361
122.5,63,17.771237
-950.65,250,18.085574
-85.8,142,18.254037
-900.35,250,20.176752
-958.65,250,20.575162
-972.2,250,20.953476
26.5,108,21.071656
45.3,93,21.171515
-957.45,250,21.442427
-938.7,250,21.699346
-51.25,143,21.838263
276.25,21,21.857016
215.9,32,21.888664
180.15,53,21.939074
191.3,50,21.991452
-188.8,198,22.19346
-272.0,179,22.377783
-165.85,187,23.65369
176.5,58,23.731481
79.85,85,23.847646
-74.35,122,23.996995
234.1,41,24.046342
-919.15,250,24.332457
-199.45,191,24.563031
56.0,86,24.658236
224.65,34,24.699987
116.0,92,24.813084
278.5,16,24.831606
252.1,37,24.870455
-917.3,250,25.143772
-1050.15,250,25.383472
116.0,91,25.474632
204.6,57,25.5293
-925.35,250,26.712944
41.35,93,26.809902
249.5,22,26.831248
-973.35,250,27.0907
-1031.75,250,27.333312
130.85,68,27.402065
281.7,13,27.4131
173.4,61,27.468683
-158.8,157,27.62624
280.95,17,27.645631
260.75,19,27.661791
-160.0,178,27.8347
-1091.75,250,28.081729
244.65,34,28.117753
-1018.45,250,28.383789
297.95,4,28.389398
209.4,38,28.434907
189.45,53,28.492523
254.9,29,28.523426
278.7,15,28.539624
-79.0,119,28.662527
253.3,45,28.717166
209.4,45,28.760718
-16.4,103,29.919527
100.1,69,30.002006
120.6,66,30.069608
-1066.15,250,30.335063
274.6,23,30.362163
108.35,69,30.48858
-1019.8,250,30.956971
-172.4,172,31.180158
-949.35,250,31.463373
132.4,96,31.583368
-46.7,124,31.713377
220.35,58,31.772282
212.6,50,31.819856
-224.7,189,32.007969
139.95,77,32.095761
31.6,124,32.213847
-255.55,178,33.374679
303.45,3,33.378134
-1019.9,250,33.641409
233.0,40,33.690233
-994.15,250,33.933855
167.05,59,33.99161
-1002.2,250,34.225511
188.3,37,34.267769
232.7,34,34.310265
211.35,49,34.359468
-93.5,133,34.494826
201.8,43,34.53347
-147.6,146,34.6704
-962.75,250,34.920065
136.65,80,35.001287
305.75,5,35.00653
286.45,16,35.028036
158.7,76,35.091862
-906.85,250,35.313179
306.9,6,35.319199
156.9,64,36.305394
275.4,33,36.33834
150.15,66,36.406565
272.45,20,36.425653
178.95,59,36.482959
224.15,37,36.520067
293.05,9,36.527992
-1018.4,250,36.776464
138.25,64,36.846257
-1043.55,250,37.078832
293.35,22,37.099254
291.15,12,37.113773
-996.75,250,37.367181
182.45,62,37.436439
98.4,86,37.515566
287.6,17,37.530363
293.5,21,37.549735
229.65,44,37.597698
138.75,70,37.666447
256.85,18,37.683327
-387.05,229,37.886803
-0.0,123,38.000868
134.5,72,38.0625
-133.0,179,39.212069
118.3,57,39.264771
-1015.95,250,39.504602
283.75,31,39.536039
297.3,15,39.559674
181.45,45,39.610728
269.0,17,39.635496
302.85,21,39.660124
179.6,49,39.702655
-407.6,225,39.930356
222.9,37,39.98213
185.9,52,40.039326
169.65,59,40.086591
214.55,46,40.142449
221.5,37,40.173726
-1024.05,250,40.404659
118.55,70,40.47656
210.75,45,40.522287
263.05,13,40.534512
229.1,39,40.572375
207.0,51,40.628067
-966.95,250,40.912756
298.8,14,40.932311
-1041.05,250,41.25563
240.5,35,41.302673
143.7,63,41.393761
229.0,25,42.924977
217.75,43,42.982153
301.15,1,42.984664
177.9,50,43.046594
239.55,55,43.112954
-994.75,250,43.449459
257.75,28,43.485407
272.3,28,43.519874
290.8,36,43.563901
248.9,33,43.604652
-1039.85,250,43.894541
-1055.7,250,44.228658
31.75,95,44.361787
-263.35,183,44.617579
279.85,16,44.641746
222.2,33,44.680023
125.35,69,44.771925
250.55,31,44.811332
203.75,47,44.877615
-72.6,136,45.055178
-164.5,153,45.278106
260.65,34,45.328428
288.95,17,45.345443
57.8,91,45.459387
302.3,2,45.462387
256.5,42,45.512968
176.95,56,45.590977
78.1,88,46.769068
7.2,121,46.902385
202.4,56,46.954661
287.0,13,46.969467
128.25,91,47.074664
-961.25,250,47.33465
235.65,25,47.369392
-587.7,249,47.623322
302.3,2,47.624839
279.5,25,47.649651
269.15,31,47.689785
175.2,59,47.75455
35.25,89,47.84361
252.6,27,47.868862
171.35,51,47.930606
272.35,28,47.953876
142.85,68,48.017953
261.25,38,48.055844
234.75,30,48.08556
280.6,19,48.106519
150.8,68,48.170197
264.15,29,48.193326
242.8,37,48.226612
222.95,29,48.258705
202.6,31,48.291937
302.9,6,48.299562
295.0,13,48.311533
-96.2,158,48.449534
285.7,13,48.461604
273.45,22,48.481673
268.75,33,48.513727
275.1,20,48.532519
98.85,61,48.591266
274.95,21,48.608277
306.25,17,48.623942
196.0,61,48.683639
95.9,85,49.94898
-1047.9,250,50.217988
288.9,10,50.229978
264.9,25,50.256202
-1015.8,250,50.520896
227.0,37,50.557322
306.0,11,50.56874
301.4,7,50.577471
249.7,37,50.613472
275.7,24,50.634999
-1054.4,250,50.902086
297.35,22,50.921759
124.8,94,51.014776
228.2,44,51.054528
271.35,26,51.079648
86.05,89,51.168258
287.8,16,51.184865
251.15,28,51.213674
-35.95,115,51.328969
268.25,36,51.365656
217.5,38,51.3993
226.5,39,51.436454
-1067.75,250,51.683647
-1002.55,250,51.921593
-1047.95,250,53.147768
270.2,25,53.177634
276.8,18,53.196649
212.95,40,53.237287
294.0,11,53.249323
225.3,31,53.281577
207.05,51,53.338714
204.15,45,53.407483
160.65,35,53.451813
258.6,23,53.482195
296.2,21,53.50994
300.65,11,53.526
180.55,50,53.588317
-112.15,164,53.778588
118.65,77,53.872419
261.1,24,53.903015
306.95,13,53.921495
284.3,28,53.959814
304.55,19,53.98289
306.55,8,53.994841
304.05,7,54.001374
300.85,10,54.01544
299.1,5,54.02446
246.0,34,54.068289
286.85,14,54.085274
305.2,8,54.096397
279.2,12,54.111477
284.55,12,54.122543
-993.45,250,54.488708
-1077.0,250,54.772008
302.0,11,54.786041
-1095.6,250,55.064578
206.1,34,55.098572
202.25,63,55.164953
302.25,17,55.183229
282.75,22,55.208457
218.7,38,55.244574
190.85,45,55.289714
193.1,47,55.338427
-32.2,132,56.451812
308.65,11,56.463657
198.45,47,56.509019
274.0,26,56.540231
303.7,9,56.547322
291.25,19,56.569484
-1059.8,250,56.819422
284.6,19,56.839938
115.0,60,56.894833
253.2,31,56.921115
296.75,18,56.9358
295.55,10,56.944458
267.05,13,56.957002
264.8,33,56.990571
176.35,44,57.027979
-1006.5,250,57.281541
166.45,48,57.331993
283.5,25,57.360672
286.1,18,57.380228
286.65,15,57.393416
231.1,28,57.422943
281.95,19,57.439794
278.55,23,57.460384
285.3,15,57.473435
288.7,11,57.481512
237.5,37,57.513287
277.2,23,57.53915
-551.95,237,57.798646
275.9,23,57.829029
280.0,23,57.85661
286.8,29,57.888314
285.55,21,57.913475
290.85,14,57.929016
-1049.2,250,58.207323
273.1,9,58.218945
222.45,32,58.260994
282.65,15,58.282626
242.6,23,58.312436
231.35,34,58.345959
240.45,35,58.388937
301.75,5,58.392921
301.45,14,58.409926
209.6,51,58.4597
299.45,3,58.46294
296.15,14,58.481679
244.2,29,58.511405
230.05,35,59.499035
300.6,19,59.525665
288.35,13,59.538478
248.85,33,59.56961
255.85,16,59.579126
211.95,31,59.609487
238.35,32,59.644549
265.0,32,59.678803
279.55,10,59.688283
303.45,3,59.691311
1.35,78,59.769701
173.7,59,59.822387
280.3,21,59.842016
282.35,24,59.862782
-1067.75,250,60.12901
240.2,22,60.148645
301.65,13,60.16272
292.9,10,60.171717
284.85,25,60.192195
-1003.6,250,60.438319
300.45,5,60.443241
285.5,14,60.455281
300.45,5,60.46196
301.75,5,60.468152
288.25,21,60.489559
267.55,25,60.51313
293.05,24,60.541941
-1096.8,250,60.778445
302.55,8,60.787193
261.15,24,60.806515
163.4,49,60.864552
289.25,30,60.897465
295.6,17,60.919051
298.25,17,60.933114
278.9,21,60.95373
305.8,12,60.96324
305.75,5,60.969064
213.0,33,61.001494
301.15,1,61.002499
247.4,26,61.024544
235.95,31,61.052125
203.25,50,61.093197
301.4,7,61.101085
202.35,40,61.137293
283.2,12,61.146914
280.25,21,61.169538
303.45,3,61.172537
275.9,31,61.196382
-1054.45,250,61.430444
295.0,13,61.442971
-288.4,182,62.630488
305.2,8,62.639039
295.6,17,62.655339
-1126.15,250,62.910293
293.6,6,62.918547
261.6,21,62.941341
305.2,8,62.950088
299.35,11,62.959086
233.8,28,62.985441
254.4,39,63.022022
-1099.5,250,63.270118
296.2,21,63.290457
110.3,80,63.368748
305.2,8,63.376244
298.7,22,63.400411
289.2,23,63.422678
239.95,38,63.459576
253.25,23,63.486614
248.75,49,63.536246
301.4,7,63.543265
306.05,18,63.573033
280.9,32,63.605668
270.35,32,63.635732
283.75,9,63.643827
302.3,2,63.646839
297.05,9,63.655205
266.35,39,63.686882
298.55,8,63.691889
302.0,11,63.702522
288.7,26,63.73205
303.7,9,63.739144
198.25,33,63.768553
295.25,19,63.786629
286.65,15,63.800633
298.55,8,63.807515
279.4,26,63.836289
289.15,16,63.851115
256.55,20,63.869144
283.7,24,63.894918
296.5,12,63.907142
302.9,6,63.913153
300.85,10,63.924179
260.5,20,63.948601
294.25,10,63.957916
304.65,11,63.970561
305.8,12,63.981767
303.7,9,63.989273
186.7,53,64.037914
205.95,35,64.070141
306.6,15,64.084593
246.75,37,64.125495
304.6,4,64.130002
253.55,14,64.141438
-1077.05,250,64.385503
269.55,36,64.432674
300.6,4,64.436795
270.55,23,64.458282
306.9,6,64.464796
260.75,26,64.488318
306.45,16,64.504902
305.7,20,64.524822
294.9,14,64.539829
226.4,32,65.593285
257.65,21,65.616088
-235.45,168,65.798165
297.95,26,65.823905
287.3,26,65.852327
266.75,22,65.871485
-1079.55,250,66.133029
-1130.2,250,66.382628
-994.35,250,66.637238
298.25,17,66.65719
302.25,17,66.674529
302.55,8,66.682601
294.2,10,66.690677
303.4,18,66.70748
301.75,5,66.712461
300.6,4,66.715468
299.35,11,66.72651
288.4,20,66.747812
-1054.25,250,66.994465
288.45,27,67.017241
295.9,8,67.023243
-1067.75,250,67.266559
306.85,21,67.286496
301.75,5,67.28993
214.8,45,67.337893
252.9,41,67.378803
-1130.4,250,67.635137
105.1,95,69.061563
304.05,29,69.109335
308.55,19,69.14399
301.4,7,69.157573
-1082.45,250,69.608655
314.95,13,69.630579
314.4,16,69.658464
295.05,20,69.692281
308.65,11,69.711303
287.65,32,69.762528
281.85,20,69.795622
261.85,27,69.839914
260.65,19,69.872514
299.35,11,69.892406
283.75,31,69.950964
270.95,21,69.986633
277.15,16,70.017056
274.05,26,70.063226
314.4,16,70.086224
286.45,16,70.111057
307.4,18,70.136288
298.5,23,70.168031
304.6,4,70.174532
283.85,23,70.21626
309.8,12,70.243691
134.7,61,70.332736
-987.8,250,70.748516
288.0,15,70.769294
302.65,22,70.80305
302.4,16,70.829386
302.9,6,70.83542
265.05,47,70.908512
-1059.8,250,71.263406
303.4,18,71.299498
303.7,9,71.320922
-1106.5,250,71.760003
195.6,41,71.818598
255.7,39,71.872572
301.15,1,71.874546
286.35,24,71.914618
274.95,36,71.958107
280.6,19,71.982401
222.9,37,72.039567
309.2,8,72.052593
132.0,62,72.128393
-1140.9,250,73.815479
302.3,2,73.82149
301.15,1,73.825037
264.8,34,73.867259
78.5,63,73.974722
281.35,15,73.999456
303.15,12,74.015516
228.35,36,74.065609
307.2,19,74.094553
304.65,11,74.11533
278.15,40,74.171152
285.85,12,74.185734
87.3,73,74.313508
298.9,6,74.327141
305.8,12,74.34742
309.25,15,74.36676
248.4,28,74.399709
298.95,6,74.40751
258.4,17,74.426275
313.25,15,74.442522
267.9,16,74.457458
210.95,60,74.564487
295.1,27,74.622082
297.05,9,74.641362
300.2,29,74.683053
269.3,30,74.713725
312.65,11,74.725449
273.2,38,74.777046
306.35,9,74.792022
301.25,8,74.805416
302.0,11,74.8185
298.45,16,74.84077
272.15,29,74.878268
251.65,47,74.931336
274.9,21,74.957503
200.5,43,75.006823
164.85,56,75.071337
304.3,13,75.087043
302.3,2,75.090046
215.6,40,75.14235
297.8,12,75.158979
287.95,15,75.17838
-313.25,148,75.349299
293.35,22,75.365323
303.85,23,75.381378
-1049.25,250,75.577372
286.65,15,75.590421
212.85,41,75.622399
302.65,15,75.633463
295.95,15,75.64697
310.85,21,75.663067
284.35,13,75.675745
-1100.7,250,75.872668
280.2,14,75.884773
249.05,17,75.89831
231.9,46,75.938664
287.5,25,76.752201
282.1,18,76.772971
159.15,44,76.811969
304.6,4,76.817008
307.5,10,76.825542
305.75,5,76.828617
299.1,5,76.8346
294.2,10,76.844639
308.05,7,76.851681
303.45,3,76.855163
306.9,6,76.860673
286.25,32,76.892549
250.55,38,76.933328
90.5,79,77.007665
-153.15,155,77.153122
301.25,8,77.160156
259.45,33,77.188357
-194.5,163,77.358721
306.6,15,77.373252
309.2,8,77.380304
297.1,16,77.397474
245.65,21,77.421492
295.75,9,77.429501
306.9,21,77.453059
229.95,27,77.483057
296.45,5,77.488429
264.05,15,77.503031
286.65,15,77.519083
307.15,12,77.530202
-1171.55,250,77.763629
288.05,22,77.786547
305.2,8,77.794662
283.3,26,77.823071
305.45,14,77.835354
308.1,14,77.848116
276.2,14,77.862131
-1081.3,250,78.102136
-110.6,132,78.227223
269.95,19,78.243406
312.65,11,78.254616
203.35,42,78.295393
290.3,17,78.313311
206.0,27,78.341393
303.7,9,78.351041
299.15,12,78.36095
304.6,26,78.385243
306.9,6,78.390344
289.9,19,78.411457
232.0,38,78.449936
293.35,22,78.4676
310.95,13,78.477611
304.6,4,78.482619
265.8,28,78.511387
302.35,9,78.523044
-1022.5,250,79.624509
317.85,19,79.641773
280.4,20,79.660993
286.95,21,79.682122
308.7,18,79.699549
246.8,37,79.734487
308.05,7,79.740304
-1143.75,250,79.99687
226.45,39,80.033546
292.4,20,80.051748
310.35,9,80.060212
285.6,14,80.074546
298.65,22,80.098797
302.3,2,80.100808
310.05,18,80.121015
310.35,9,80.131218
299.3,26,80.155341
305.2,8,80.162367
232.9,40,80.201835
286.2,10,80.211163
293.95,26,80.234482
299.35,11,80.243017
206.8,45,80.288128
295.9,8,80.297077
-1132.9,250,80.536569
314.4,16,80.553658
309.8,12,80.564919
71.45,72,80.630058
196.3,51,80.679457
224.6,27,80.704716
307.2,19,80.721881
266.25,25,80.74642
282.55,23,80.76565
289.0,24,80.786601
301.7,20,80.805711
86.7,39,80.839117
304.55,19,80.857279
283.1,20,80.878898
277.65,28,80.90641
294.75,7,80.912419
176.0,46,80.952901
282.0,26,80.976591
301.4,7,80.9832
301.95,4,80.988297
295.35,11,80.998897
301.75,5,81.002895
-956.0,250,81.240001
271.35,26,81.265353
289.75,28,81.292542
300.8,3,81.297093
296.15,14,81.309501
305.8,12,81.320171
302.3,2,81.322172
308.05,7,81.328192
304.3,13,81.340202
-1056.95,250,82.454477
294.75,7,82.462388
284.25,21,82.484625
284.65,26,82.51241
252.95,32,82.550704
294.45,16,82.568682
314.4,16,82.586402
309.2,8,82.597979
293.65,13,82.614693
297.65,13,82.62967
303.45,3,82.633667
184.35,44,82.683234
284.05,22,82.705347
263.55,25,82.732447
-1097.0,250,82.982726
294.15,18,82.998968
-994.3,250,83.288182
281.45,29,83.3425
288.7,11,83.363373
-1066.3,250,83.710741
301.5,21,83.733036
293.9,19,83.75349
271.6,39,83.798505
304.2,21,83.819242
306.4,16,83.84069
296.5,12,83.853592
302.3,2,83.85711
295.9,8,83.867449
305.75,5,83.872396
285.2,23,83.90317
304.6,4,83.907823
300.15,21,83.932261
306.05,18,83.949486
305.75,5,83.955381
298.55,8,83.965573
252.7,19,83.993506
295.65,24,84.022163
-1091.7,250,84.292716
205.6,52,84.345622
310.35,9,84.352322
296.25,6,84.358375
280.95,17,84.378971
295.95,8,84.385384
214.95,44,84.43163
233.9,35,84.472009
-81.9,142,84.612425
299.1,5,84.617892
252.2,29,84.653455
233.85,35,84.691401
302.3,2,84.693407
288.4,20,84.714518
218.75,30,84.751219
-1055.55,250,85.96109
298.25,17,85.982014
300.55,19,86.006974
306.9,6,86.012974
294.75,7,86.018611
-1081.0,250,86.278133
-1051.6,250,86.521318
306.35,9,86.531336
308.65,11,86.540288
161.25,54,86.596816
306.35,9,86.605338
291.2,12,86.620357
252.7,26,86.644593
303.15,12,86.657166
313.85,19,86.676379
292.55,19,86.695632
296.5,12,86.708604
304.05,7,86.713603
256.05,38,86.750226
241.3,46,86.792947
308.1,14,86.809828
304.6,4,86.813823
221.05,47,86.85886
243.0,36,86.893707
278.05,11,86.903696
302.3,2,86.905932
294.25,17,86.9232
281.3,23,86.946716
307.15,12,86.958702
296.95,17,86.975513
302.25,17,86.995541
271.05,13,87.010673
305.25,15,87.026948
-1080.9,250,87.257442
301.85,12,87.272807
248.6,12,87.283031
300.45,20,87.302351
-1094.3,250,87.536498
285.5,14,87.549332
283.15,27,87.574703
274.3,17,87.591546
307.15,12,87.603091
290.8,14,87.620305
310.05,18,87.646667
310.95,13,87.663212
-1022.4,250,88.848592
308.65,11,88.859877
309.25,15,88.876423
294.9,21,88.893562
302.3,2,88.895612
230.25,56,88.956921
299.95,15,88.968134
316.35,20,88.991377
300.7,11,89.002102
-1067.45,250,89.287049
292.95,17,89.303515
305.2,8,89.311057
308.65,11,89.32198
301.4,7,89.32771
291.95,15,89.340713
-1128.85,250,89.57232
296.45,20,89.590285
247.5,18,89.605299
276.15,30,89.638393
302.3,2,89.640406
308.05,7,89.64498
312.1,14,89.657541
298.2,10,89.66716
302.05,18,89.682519
280.0,15,89.699277
257.45,22,89.720351
313.8,12,89.733029
284.35,13,89.744908
304.9,17,89.763097
269.95,19,89.783318
299.05,20,89.801564
287.65,24,89.823005
282.45,24,89.843171
297.65,13,89.857191
304.6,4,89.861972
302.55,8,89.870597
305.2,8,89.878162
269.8,20,89.898544
308.3,13,89.910444
311.75,16,89.92563
276.45,20,89.946075
301.65,13,89.961032
254.25,48,90.006316
117.55,53,90.06204
282.65,30,90.089602
-1009.1,250,90.329558
301.15,1,90.331478
297.1,16,90.348954
256.3,21,90.372105
304.6,4,90.374697
306.35,9,90.383131
263.6,10,90.392513
312.7,18,90.409191
285.25,8,90.416198
314.95,13,90.428255
284.9,10,90.439484
309.2,8,90.445484
259.5,18,90.463392
-1080.95,250,90.712441
304.05,7,90.721468
302.3,2,90.72498
304.6,4,90.728055
296.65,4,90.732056
263.8,31,91.722372
301.55,21,91.740468
310.15,25,91.767108
299.05,20,91.791306
302.3,2,91.793302
310.35,9,91.801814
307.75,16,91.818693
294.75,7,91.827303
301.15,1,91.828778
302.9,6,91.833793
269.5,30,91.859562
300.5,12,91.872711
-1063.5,250,92.122929
301.75,5,92.129274
302.45,16,92.152975
309.45,14,92.165569
308.05,7,92.173296
312.7,18,92.188377
306.35,9,92.194993
310.35,9,92.203712
245.1,24,92.225426
-1002.3,250,92.474908
301.65,13,92.491727
302.9,6,92.497096
304.9,17,92.513179
306.35,9,92.521302
308.05,7,92.52738
299.4,18,92.545515
305.2,8,92.553709
306.35,9,92.562295
-106.6,141,92.710386
306.4,16,92.727159
197.45,54,92.789324
289.6,28,92.814634
309.2,8,92.827938
308.0,22,92.8548
278.9,21,92.872956
305.25,15,92.888042
-1044.95,250,93.122559
266.75,22,93.142509
280.55,12,93.15671
288.75,18,93.176045
289.9,19,93.194779
308.1,14,93.207982
310.35,9,93.217294
313.8,12,93.227897
310.35,9,93.235447
300.9,17,93.249533
303.45,3,93.252579
301.15,1,93.253573
306.35,9,93.259655
113.1,56,93.315505
302.3,2,93.320124
291.85,23,93.343268
306.6,15,93.358725
299.35,11,93.371005
303.45,3,93.37462
310.85,21,93.395927
286.75,7,93.401938
309.25,15,93.416264
306.35,9,93.427665
306.9,6,93.434681
305.45,14,93.444705
302.8,14,93.4567
276.35,13,93.470534
308.05,7,93.477564
303.45,3,93.479565
290.65,15,93.495227
295.35,11,93.506602
312.35,20,93.524709
304.9,17,93.539162
305.7,20,93.560243
304.65,11,93.570863
275.75,9,93.578809
312.1,14,93.593838
264.15,29,93.622852
-14.8,86,93.708301
281.2,23,93.727638
272.5,35,94.674825
313.25,15,94.692199
285.6,21,94.718248
268.65,34,94.756645
295.95,15,94.771623
304.6,4,94.776311
254.05,26,94.807332
299.65,17,94.823425
297.65,13,94.838336
290.4,9,94.84754
289.65,28,94.873233
299.35,11,94.888365
307.5,10,94.898158
306.9,6,94.904669
309.85,19,94.921737
306.35,9,94.929359
308.05,7,94.938005
303.4,18,94.956769
251.7,32,94.990777
307.75,16,95.007555
306.9,6,95.013548
290.5,16,95.027818
308.65,11,95.038996
275.95,8,95.046006
259.8,40,95.08938
303.45,3,95.092371
293.0,24,95.116996
303.45,3,95.119008
308.1,14,95.129764
-937.1,250,95.371547
302.3,2,95.373528
306.9,6,95.37948
310.95,13,95.393761
295.35,11,95.406779
301.75,5,95.410789
300.6,4,95.412784
287.8,16,95.432183
291.45,11,95.443382
310.95,13,95.455711
303.45,3,95.458566
301.2,8,95.465514
306.6,15,95.477744
309.9,19,95.497353
313.8,12,95.509529
306.35,9,95.519674
299.1,5,95.524576
-1000.9,250,95.760858
310.65,22,95.791189
296.95,17,95.80737
314.4,16,95.820582
300.25,6,95.825101
304.85,10,95.835611
292.5,12,95.845132
241.6,29,95.871746
