episode_id,algorithm,start_position,target_position,total_reward,total_steps,success,path_length,invalid_moves,collision_count,visited_cells,final_distance_to_goal,time_to_goal_steps
42,random,"[13, 3]","[5, 7]",-1255.9199999999994,200,False,191,0,9,52,11,
43,random,"[4, 13]","[9, 11]",72.60647058823534,63,True,51,0,12,22,0,63
44,random,"[12, 13]","[8, 4]",-1124.3199999999983,200,False,186,0,14,72,7,
45,random,"[6, 8]","[10, 4]",-181.92333333333357,57,True,54,0,3,28,0,57
46,random,"[11, 10]","[9, 11]",354.99,3,True,3,0,0,4,0,3
47,random,"[6, 5]","[10, 4]",-1219.6799999999987,200,False,193,0,7,80,10,
48,random,"[12, 11]","[10, 9]",224.70999999999998,19,True,18,0,1,13,0,19
49,random,"[13, 10]","[10, 4]",-1440.3599999999994,200,False,192,0,8,59,11,
50,random,"[11, 8]","[10, 4]",-122.39816326530615,49,True,49,0,0,23,0,49
51,random,"[1, 2]","[9, 11]",-651.8679661016945,177,True,177,0,0,58,0,177
52,random,"[3, 4]","[8, 4]",-489.91714285714215,110,True,105,0,5,44,0,110
53,random,"[7, 8]","[10, 6]",-242.29294117647038,86,True,85,0,1,33,0,86
54,random,"[12, 3]","[9, 11]",-1174.52,200,False,180,0,20,32,9,
55,random,"[3, 4]","[8, 4]",-567.1885714285715,68,True,63,0,5,29,0,68
56,random,"[9, 7]","[5, 7]",-1138.2399999999993,200,False,170,0,30,48,6,
57,random,"[2, 10]","[7, 3]",-165.17769230769255,107,True,104,0,3,62,0,107
58,random,"[8, 13]","[9, 11]",243.30857142857144,24,True,21,0,3,12,0,24
59,random,"[10, 10]","[6, 1]",-952.3910638297878,150,True,141,0,9,63,0,150
60,random,"[6, 12]","[5, 7]",-283.2430769230771,140,True,130,0,10,47,0,140
61,random,"[7, 1]","[5, 7]",-1073.7999999999988,200,False,185,0,15,66,3,
62,random,"[2, 8]","[9, 11]",-1208.3999999999987,200,False,190,0,10,71,8,
63,random,"[9, 10]","[9, 11]",311.90999999999997,3,True,3,0,0,3,0,3
64,random,"[8, 13]","[9, 11]",-1026.279999999998,200,False,188,0,12,85,13,
65,random,"[6, 12]","[5, 7]",-1091.719999999999,200,False,179,0,21,67,7,
66,random,"[3, 7]","[10, 4]",-1710.2799999999997,200,False,180,0,20,60,8,
67,random,"[11, 8]","[10, 4]",174.8342857142857,24,True,21,0,3,15,0,24
68,random,"[8, 8]","[5, 7]",-1073.9999999999995,200,False,190,0,10,51,2,
69,random,"[10, 10]","[7, 3]",176.25000000000003,40,True,40,0,0,26,0,40
70,random,"[10, 11]","[10, 9]",271.06857142857143,16,True,14,0,2,9,0,16
71,random,"[2, 13]","[10, 4]",-1989.920000000002,200,False,182,0,18,52,15,
72,random,"[2, 13]","[10, 4]",-1501.08,200,False,183,0,17,50,14,
73,random,"[12, 13]","[6, 2]",-1576.6399999999996,200,False,185,0,15,68,14,
74,random,"[7, 2]","[10, 9]",-59.920000000000016,62,True,60,0,2,27,0,62
75,random,"[3, 2]","[10, 9]",-1085.1999999999991,200,False,184,0,16,86,14,
76,random,"[4, 9]","[11, 3]",-246.42370078740208,137,True,127,0,10,60,0,137
77,random,"[7, 12]","[7, 3]",-1394.8799999999999,200,False,171,0,29,40,12,
78,random,"[5, 5]","[1, 11]",-1560.0399999999995,200,False,199,0,1,63,15,
79,random,"[8, 5]","[10, 9]",-1116.6799999999998,200,False,187,0,13,55,7,
80,random,"[9, 10]","[2, 1]",-1916.800000000001,200,False,192,0,8,66,8,
81,random,"[11, 9]","[7, 3]",-1260.1599999999992,200,False,183,0,17,74,5,
42,greedy_shortest_path,"[13, 3]","[5, 7]",384.96,12,True,12,0,0,13,0,12
43,greedy_shortest_path,"[4, 13]","[9, 11]",368.31,7,True,7,0,0,8,0,7
44,greedy_shortest_path,"[12, 13]","[8, 4]",388.28999999999996,13,True,13,0,0,14,0,13
45,greedy_shortest_path,"[6, 8]","[10, 4]",327.64,8,True,8,0,0,9,0,8
46,greedy_shortest_path,"[11, 10]","[9, 11]",354.99,3,True,3,0,0,4,0,3
47,greedy_shortest_path,"[6, 5]","[10, 4]",361.65,5,True,5,0,0,6,0,5
48,greedy_shortest_path,"[12, 11]","[10, 9]",358.32,4,True,4,0,0,5,0,4
49,greedy_shortest_path,"[13, 10]","[10, 4]",374.96999999999997,9,True,9,0,0,10,0,9
50,greedy_shortest_path,"[11, 8]","[10, 4]",339.65,5,True,5,0,0,6,0,5
51,greedy_shortest_path,"[1, 2]","[9, 11]",357.60999999999996,17,True,17,0,0,18,0,17
52,greedy_shortest_path,"[3, 4]","[8, 4]",317.65,5,True,5,0,0,6,0,5
53,greedy_shortest_path,"[7, 8]","[10, 6]",339.65,5,True,5,0,0,6,0,5
54,greedy_shortest_path,"[12, 3]","[9, 11]",381.63,11,True,11,0,0,12,0,11
55,greedy_shortest_path,"[3, 4]","[8, 4]",317.65,5,True,5,0,0,6,0,5
56,greedy_shortest_path,"[9, 7]","[5, 7]",358.32,4,True,4,0,0,5,0,4
57,greedy_shortest_path,"[2, 10]","[7, 3]",384.96,12,True,12,0,0,13,0,12
58,greedy_shortest_path,"[8, 13]","[9, 11]",354.99,3,True,3,0,0,4,0,3
59,greedy_shortest_path,"[10, 10]","[6, 1]",322.28999999999996,13,True,13,0,0,14,0,13
60,greedy_shortest_path,"[6, 12]","[5, 7]",364.97999999999996,6,True,6,0,0,7,0,6
61,greedy_shortest_path,"[7, 1]","[5, 7]",371.64,8,True,8,0,0,9,0,8
62,greedy_shortest_path,"[2, 8]","[9, 11]",378.29999999999995,10,True,10,0,0,11,0,10
63,greedy_shortest_path,"[9, 10]","[9, 11]",348.33,1,True,1,0,0,2,0,1
64,greedy_shortest_path,"[8, 13]","[9, 11]",354.99,3,True,3,0,0,4,0,3
65,greedy_shortest_path,"[6, 12]","[5, 7]",364.97999999999996,6,True,6,0,0,7,0,6
66,greedy_shortest_path,"[3, 7]","[10, 4]",334.29999999999995,10,True,10,0,0,11,0,10
67,greedy_shortest_path,"[11, 8]","[10, 4]",339.65,5,True,5,0,0,6,0,5
68,greedy_shortest_path,"[8, 8]","[5, 7]",358.32,4,True,4,0,0,5,0,4
69,greedy_shortest_path,"[10, 10]","[7, 3]",378.29999999999995,10,True,10,0,0,11,0,10
70,greedy_shortest_path,"[10, 11]","[10, 9]",351.65999999999997,2,True,2,0,0,3,0,2
71,greedy_shortest_path,"[2, 13]","[10, 4]",357.60999999999996,17,True,17,0,0,18,0,17
72,greedy_shortest_path,"[2, 13]","[10, 4]",357.60999999999996,17,True,17,0,0,18,0,17
73,greedy_shortest_path,"[12, 13]","[6, 2]",357.60999999999996,17,True,17,0,0,18,0,17
74,greedy_shortest_path,"[7, 2]","[10, 9]",356.29999999999995,10,True,10,0,0,11,0,10
75,greedy_shortest_path,"[3, 2]","[10, 9]",347.62,14,True,14,0,0,15,0,14
76,greedy_shortest_path,"[4, 9]","[11, 3]",366.28999999999996,13,True,13,0,0,14,0,13
77,greedy_shortest_path,"[7, 12]","[7, 3]",352.96999999999997,9,True,9,0,0,10,0,9
78,greedy_shortest_path,"[5, 5]","[1, 11]",334.29999999999995,10,True,10,0,0,11,0,10
79,greedy_shortest_path,"[8, 5]","[10, 9]",342.97999999999996,6,True,6,0,0,7,0,6
80,greedy_shortest_path,"[9, 10]","[2, 1]",354.28,16,True,16,0,0,17,0,16
81,greedy_shortest_path,"[11, 9]","[7, 3]",378.29999999999995,10,True,10,0,0,11,0,10
42,bfs_oracle,"[13, 3]","[5, 7]",384.96,12,True,12,0,0,13,0,12
43,bfs_oracle,"[4, 13]","[9, 11]",368.31,7,True,7,0,0,8,0,7
44,bfs_oracle,"[12, 13]","[8, 4]",388.28999999999996,13,True,13,0,0,14,0,13
45,bfs_oracle,"[6, 8]","[10, 4]",327.64,8,True,8,0,0,9,0,8
46,bfs_oracle,"[11, 10]","[9, 11]",354.99,3,True,3,0,0,4,0,3
47,bfs_oracle,"[6, 5]","[10, 4]",361.65,5,True,5,0,0,6,0,5
48,bfs_oracle,"[12, 11]","[10, 9]",358.32,4,True,4,0,0,5,0,4
49,bfs_oracle,"[13, 10]","[10, 4]",374.96999999999997,9,True,9,0,0,10,0,9
50,bfs_oracle,"[11, 8]","[10, 4]",339.65,5,True,5,0,0,6,0,5
51,bfs_oracle,"[1, 2]","[9, 11]",357.60999999999996,17,True,17,0,0,18,0,17
52,bfs_oracle,"[3, 4]","[8, 4]",317.65,5,True,5,0,0,6,0,5
53,bfs_oracle,"[7, 8]","[10, 6]",339.65,5,True,5,0,0,6,0,5
54,bfs_oracle,"[12, 3]","[9, 11]",381.63,11,True,11,0,0,12,0,11
55,bfs_oracle,"[3, 4]","[8, 4]",317.65,5,True,5,0,0,6,0,5
56,bfs_oracle,"[9, 7]","[5, 7]",358.32,4,True,4,0,0,5,0,4
57,bfs_oracle,"[2, 10]","[7, 3]",384.96,12,True,12,0,0,13,0,12
58,bfs_oracle,"[8, 13]","[9, 11]",354.99,3,True,3,0,0,4,0,3
59,bfs_oracle,"[10, 10]","[6, 1]",322.28999999999996,13,True,13,0,0,14,0,13
60,bfs_oracle,"[6, 12]","[5, 7]",364.97999999999996,6,True,6,0,0,7,0,6
61,bfs_oracle,"[7, 1]","[5, 7]",371.64,8,True,8,0,0,9,0,8
62,bfs_oracle,"[2, 8]","[9, 11]",378.29999999999995,10,True,10,0,0,11,0,10
63,bfs_oracle,"[9, 10]","[9, 11]",348.33,1,True,1,0,0,2,0,1
64,bfs_oracle,"[8, 13]","[9, 11]",354.99,3,True,3,0,0,4,0,3
65,bfs_oracle,"[6, 12]","[5, 7]",364.97999999999996,6,True,6,0,0,7,0,6
66,bfs_oracle,"[3, 7]","[10, 4]",334.29999999999995,10,True,10,0,0,11,0,10
67,bfs_oracle,"[11, 8]","[10, 4]",339.65,5,True,5,0,0,6,0,5
68,bfs_oracle,"[8, 8]","[5, 7]",358.32,4,True,4,0,0,5,0,4
69,bfs_oracle,"[10, 10]","[7, 3]",378.29999999999995,10,True,10,0,0,11,0,10
70,bfs_oracle,"[10, 11]","[10, 9]",351.65999999999997,2,True,2,0,0,3,0,2
71,bfs_oracle,"[2, 13]","[10, 4]",357.60999999999996,17,True,17,0,0,18,0,17
72,bfs_oracle,"[2, 13]","[10, 4]",357.60999999999996,17,True,17,0,0,18,0,17
73,bfs_oracle,"[12, 13]","[6, 2]",357.60999999999996,17,True,17,0,0,18,0,17
74,bfs_oracle,"[7, 2]","[10, 9]",356.29999999999995,10,True,10,0,0,11,0,10
75,bfs_oracle,"[3, 2]","[10, 9]",347.62,14,True,14,0,0,15,0,14
76,bfs_oracle,"[4, 9]","[11, 3]",366.28999999999996,13,True,13,0,0,14,0,13
77,bfs_oracle,"[7, 12]","[7, 3]",352.96999999999997,9,True,9,0,0,10,0,9
78,bfs_oracle,"[5, 5]","[1, 11]",334.29999999999995,10,True,10,0,0,11,0,10
79,bfs_oracle,"[8, 5]","[10, 9]",342.97999999999996,6,True,6,0,0,7,0,6
80,bfs_oracle,"[9, 10]","[2, 1]",354.28,16,True,16,0,0,17,0,16
81,bfs_oracle,"[11, 9]","[7, 3]",378.29999999999995,10,True,10,0,0,11,0,10
42,ppo,"[13, 3]","[5, 7]",384.9599857330322,12,True,12,0,0,13,0,12
43,ppo,"[4, 13]","[9, 11]",368.30998611450195,7,True,7,0,0,8,0,7
44,ppo,"[12, 13]","[8, 4]",-4410.200000762939,200,False,200,0,0,11,3,
45,ppo,"[6, 8]","[10, 4]",283.639986038208,8,True,8,0,0,9,0,8
46,ppo,"[11, 10]","[9, 11]",354.98998641967773,3,True,3,0,0,4,0,3
47,ppo,"[6, 5]","[10, 4]",339.64998626708984,5,True,5,0,0,6,0,5
48,ppo,"[12, 11]","[10, 9]",340.9799861907959,6,True,6,0,0,7,0,6
49,ppo,"[13, 10]","[10, 4]",374.96998596191406,9,True,9,0,0,10,0,9
50,ppo,"[11, 8]","[10, 4]",339.64998626708984,5,True,5,0,0,6,0,5
51,ppo,"[1, 2]","[9, 11]",313.6099853515625,17,True,17,0,0,18,0,17
52,ppo,"[3, 4]","[8, 4]",317.64998626708984,5,True,5,0,0,6,0,5
53,ppo,"[7, 8]","[10, 6]",339.64998626708984,5,True,5,0,0,6,0,5
54,ppo,"[12, 3]","[9, 11]",359.6299858093262,11,True,11,0,0,12,0,11
55,ppo,"[3, 4]","[8, 4]",317.64998626708984,5,True,5,0,0,6,0,5
56,ppo,"[9, 7]","[5, 7]",340.9799861907959,6,True,6,0,0,7,0,6
57,ppo,"[2, 10]","[7, 3]",347.02998542785645,16,True,16,0,0,17,0,16
58,ppo,"[8, 13]","[9, 11]",354.98998641967773,3,True,3,0,0,4,0,3
59,ppo,"[10, 10]","[6, 1]",256.2899856567383,13,True,13,0,0,14,0,13
60,ppo,"[6, 12]","[5, 7]",329.389986038208,8,True,8,0,0,9,0,8
61,ppo,"[7, 1]","[5, 7]",371.639986038208,8,True,8,0,0,9,0,8
62,ppo,"[2, 8]","[9, 11]",368.4599857330322,12,True,12,0,0,13,0,12
63,ppo,"[9, 10]","[9, 11]",348.3299865722656,1,True,1,0,0,2,0,1
64,ppo,"[8, 13]","[9, 11]",354.98998641967773,3,True,3,0,0,4,0,3
65,ppo,"[6, 12]","[5, 7]",329.389986038208,8,True,8,0,0,9,0,8
66,ppo,"[3, 7]","[10, 4]",290.2999858856201,10,True,10,0,0,11,0,10
67,ppo,"[11, 8]","[10, 4]",339.64998626708984,5,True,5,0,0,6,0,5
68,ppo,"[8, 8]","[5, 7]",358.3199863433838,4,True,4,0,0,5,0,4
69,ppo,"[10, 10]","[7, 3]",356.2999858856201,10,True,10,0,0,11,0,10
70,ppo,"[10, 11]","[10, 9]",351.6599864959717,2,True,2,0,0,3,0,2
71,ppo,"[2, 13]","[10, 4]",313.6099853515625,17,True,17,0,0,18,0,17
72,ppo,"[2, 13]","[10, 4]",313.6099853515625,17,True,17,0,0,18,0,17
73,ppo,"[12, 13]","[6, 2]",313.6099853515625,17,True,17,0,0,18,0,17
74,ppo,"[7, 2]","[10, 9]",312.2999858856201,10,True,10,0,0,11,0,10
75,ppo,"[3, 2]","[10, 9]",325.61998558044434,14,True,14,0,0,15,0,14
76,ppo,"[4, 9]","[11, 3]",-1931.0400009155273,200,False,200,0,0,13,9,
77,ppo,"[7, 12]","[7, 3]",320.44819259643555,11,True,11,0,0,12,0,11
78,ppo,"[5, 5]","[1, 11]",-2366.3600006103516,200,False,200,0,0,9,16,
79,ppo,"[8, 5]","[10, 9]",342.9799861907959,6,True,6,0,0,7,0,6
80,ppo,"[9, 10]","[2, 1]",266.27998542785645,16,True,16,0,0,17,0,16
81,ppo,"[11, 9]","[7, 3]",356.2999858856201,10,True,10,0,0,11,0,10
42,dqn,"[13, 3]","[5, 7]",-550.0,200,False,0,0,200,1,12,
43,dqn,"[4, 13]","[9, 11]",-544.920000076294,200,False,1,0,199,2,6,
44,dqn,"[12, 13]","[8, 4]",-553.920000076294,200,False,1,0,199,2,14,
45,dqn,"[6, 8]","[10, 4]",-2407.680000305176,200,False,200,0,0,5,4,
46,dqn,"[11, 10]","[9, 11]",-1225.5200004577637,200,False,200,0,0,7,3,
47,dqn,"[6, 5]","[10, 4]",-2413.760000228882,200,False,200,0,0,4,5,
48,dqn,"[12, 11]","[10, 9]",358.3199863433838,4,True,4,0,0,5,0,4
49,dqn,"[13, 10]","[10, 4]",-539.8400001525879,200,False,2,0,198,3,7,
50,dqn,"[11, 8]","[10, 4]",-547.6800003051758,200,False,4,0,196,5,5,
51,dqn,"[1, 2]","[9, 11]",-2385.680000305176,200,False,200,0,0,5,13,
52,dqn,"[3, 4]","[8, 4]",292.96998596191406,9,True,9,0,0,10,0,9
53,dqn,"[7, 8]","[10, 6]",-2433.920000076294,200,False,200,0,0,2,5,
54,dqn,"[12, 3]","[9, 11]",-2356.5200004577637,200,False,200,0,0,7,5,
55,dqn,"[3, 4]","[8, 4]",292.96998596191406,9,True,9,0,0,10,0,9
56,dqn,"[9, 7]","[5, 7]",-2422.760000228882,200,False,200,0,0,4,6,
57,dqn,"[2, 10]","[7, 3]",384.9599857330322,12,True,12,0,0,13,0,12
58,dqn,"[8, 13]","[9, 11]",-550.0,200,False,0,0,200,1,3,
59,dqn,"[10, 10]","[6, 1]",-4623.840000152588,200,False,200,0,0,3,13,
60,dqn,"[6, 12]","[5, 7]",-556.6800003051758,200,False,4,0,196,5,8,
61,dqn,"[7, 1]","[5, 7]",371.639986038208,8,True,8,0,0,9,0,8
62,dqn,"[2, 8]","[9, 11]",-2375.6000003814697,200,False,200,0,0,6,6,
63,dqn,"[9, 10]","[9, 11]",-2422.760000228882,200,False,200,0,0,4,3,
64,dqn,"[8, 13]","[9, 11]",-550.0,200,False,0,0,200,1,3,
65,dqn,"[6, 12]","[5, 7]",-556.6800003051758,200,False,4,0,196,5,8,
66,dqn,"[3, 7]","[10, 4]",-2375.6000003814697,200,False,200,0,0,6,6,
67,dqn,"[11, 8]","[10, 4]",-547.6800003051758,200,False,4,0,196,5,5,
68,dqn,"[8, 8]","[5, 7]",358.3199863433838,4,True,4,0,0,5,0,4
69,dqn,"[10, 10]","[7, 3]",354.40498542785645,16,True,16,0,0,17,0,16
70,dqn,"[10, 11]","[10, 9]",326.8199863433838,4,True,4,0,0,5,0,4
71,dqn,"[2, 13]","[10, 4]",-2414.840000152588,200,False,200,0,0,3,15,
72,dqn,"[2, 13]","[10, 4]",-2414.840000152588,200,False,200,0,0,3,15,
73,dqn,"[12, 13]","[6, 2]",306.5331687927246,19,True,19,0,0,20,0,19
74,dqn,"[7, 2]","[10, 9]",-2399.4400005340576,200,False,200,0,0,8,6,
75,dqn,"[3, 2]","[10, 9]",-548.8400001525879,200,False,2,0,198,3,14,
76,dqn,"[4, 9]","[11, 3]",-2278.0400009155273,200,False,200,0,0,13,3,
77,dqn,"[7, 12]","[7, 3]",327.9499855041504,15,True,15,0,0,16,0,15
78,dqn,"[5, 5]","[1, 11]",-2385.3600006103516,200,False,200,0,0,9,10,
79,dqn,"[8, 5]","[10, 9]",-2373.4400005340576,200,False,200,0,0,8,6,
80,dqn,"[9, 10]","[2, 1]",-4480.440000534058,200,False,200,0,0,8,10,
81,dqn,"[11, 9]","[7, 3]",356.2999858856201,10,True,10,0,0,11,0,10
